bell_id,strike_num,file,f_hum,f_prime,f_tierce,f_quint,f_nominal,tierce_type,tierce_cents,t60,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,tuning_deviation_cents,strength
bamberg_cathedral,bamberg_cathedral_strike001.flac,bamberg_cathedral_strike001.flac,152.34375,275.390625,339.84375,404.296875,603.515625,major,364.0705721399217,,1445.4373706775011,2212.824424373088,2331.310096153846,0.0001151290343841,35.929427860078306,0.349
bamberg_cathedral,bamberg_cathedral_strike002.flac,bamberg_cathedral_strike002.flac,275.390625,597.65625,785.15625,984.375,1330.078125,major,472.3966181835322,,1299.3932837789134,1952.9099082269363,2010.4567307692307,7.301924051716924e-05,72.39661818353221,0.693
bamberg_cathedral,bamberg_cathedral_strike003.flac,bamberg_cathedral_strike003.flac,275.390625,597.65625,779.296875,990.234375,1265.625,major,459.42851223563287,,1184.3307644750355,1752.7812032986187,1766.1658653846157,4.44338693341706e-05,59.428512235632866,0.933
bamberg_cathedral,bamberg_cathedral_strike004.flac,bamberg_cathedral_strike004.flac,275.390625,597.65625,,984.375,1259.765625,,,28.259528810429096,1153.7504584866583,1680.6781056581865,1697.5961538461538,6.027367999195121e-05,,0.542
bamberg_cathedral,bamberg_cathedral_strike005.flac,bamberg_cathedral_strike005.flac,228.515625,468.75,597.65625,621.09375,990.234375,major,420.5966965009598,30.0,1156.3989532036394,1666.380524135942,1691.9471153846157,4.416214505909011e-05,20.59669650095981,0.82
bamberg_cathedral,bamberg_cathedral_strike006.flac,bamberg_cathedral_strike006.flac,275.390625,597.65625,662.109375,990.234375,,minor,177.30434453243063,30.0,1177.8058974423552,1689.885550351088,1731.0096153846157,5.522662468138151e-05,122.69565546756937,1.0
bamberg_cathedral,bamberg_cathedral_strike007.flac,bamberg_cathedral_strike007.flac,234.375,468.75,603.515625,708.984375,990.234375,major,437.4869187550273,,1192.9323367478294,1740.0554058263249,1778.2451923076924,6.449790089391172e-05,37.48691875502732,0.873
bamberg_cathedral,bamberg_cathedral_strike008.flac,bamberg_cathedral_strike008.flac,275.390625,597.65625,726.5625,990.234375,,minor,338.1251620984554,,1199.4152543865373,1758.464483808937,1820.8935950413224,7.432128768414259e-05,38.125162098455405,0.717
bamberg_cathedral,bamberg_cathedral_strike009.flac,bamberg_cathedral_strike009.flac,140.625,275.390625,328.125,410.15625,597.65625,minor,303.31928445596003,,1163.8284111305882,1683.8157456779038,1773.2263513513512,6.764117279089987e-05,3.3192844559600303,0.479
bamberg_cathedral,bamberg_cathedral_strike010.flac,bamberg_cathedral_strike010.flac,275.390625,597.65625,638.671875,990.234375,,minor,114.91077936651688,,1113.513933638172,1566.0250478310618,1658.6371527777778,5.402271926868707e-05,185.08922063348314,0.763
dormplatz,dormplatz_strike001.flac,dormplatz_strike001.flac,181.640625,375.0,421.875,626.953125,802.734375,minor,203.91000173077484,30.0,715.7250163497127,1086.371461856676,1295.6129807692307,7.488366009056335e-06,96.08999826922516,0.795
dormplatz,dormplatz_strike002.flac,dormplatz_strike002.flac,93.75,181.640625,210.9375,287.109375,380.859375,minor,258.87442926652466,30.0,682.4153121468008,1051.3830216644249,1220.0120192307693,9.439729183213784e-06,41.12557073347534,0.723
dormplatz,dormplatz_strike003.flac,dormplatz_strike003.flac,175.78125,375.0,445.3125,626.953125,832.03125,minor,297.5130161323026,,702.1402910635297,1051.9783959745469,1244.110576923077,4.161694505455671e-06,2.486983867697404,0.681
dormplatz,dormplatz_strike004.flac,dormplatz_strike004.flac,175.78125,375.0,416.015625,544.921875,802.734375,minor,179.69654340561846,30.0,706.7008267957073,1044.562379230528,1228.7860576923076,6.159915756143164e-06,120.30345659438154,0.43
dormplatz,dormplatz_strike005.flac,dormplatz_strike005.flac,175.78125,380.859375,416.015625,626.953125,832.03125,minor,152.8551677714729,30.0,730.7371017684859,1087.057735866251,1270.7932692307693,1.8935503248940225e-05,147.1448322285271,0.665
dormplatz,dormplatz_strike006.flac,dormplatz_strike006.flac,128.90625,287.109375,375.0,433.59375,621.09375,major,462.34818706175,29.52444288018323,687.1955709730657,1063.006992213873,1189.6033653846157,1.6216845324379392e-05,62.348187061750025,0.77
dormplatz,dormplatz_strike007.flac,dormplatz_strike007.flac,140.625,287.109375,380.859375,380.859375,632.8125,major,489.1895626958954,8.265190598742775,664.7203320345913,1053.4943047777597,1151.5625,1.1500153959786983e-05,89.1895626958954,0.62
dormplatz,dormplatz_strike008.flac,dormplatz_strike008.flac,175.78125,380.859375,468.75,626.953125,832.03125,major,359.4723382306895,30.0,611.7623212472708,1017.1335953041654,1051.0817307692307,2.151553417206742e-05,40.5276617693105,0.638
dormplatz,dormplatz_strike009.flac,dormplatz_strike009.flac,93.75,175.78125,228.515625,281.25,375.0,major,454.2139479044758,30.0,600.1930544275087,1007.5748549763858,1032.5120192307693,2.5286362870247103e-05,54.21394790447579,0.88
dormplatz,dormplatz_strike010.flac,dormplatz_strike010.flac,,70.3125,,111.328125,146.484375,,,30.0,641.1034245459376,1039.7446571967191,1113.4615384615386,5.358728958526626e-05,,1.0
dormplatz,dormplatz_strike011.flac,dormplatz_strike011.flac,,58.59375,,,,,,30.0,656.6670610459693,1030.860215022699,1149.711277173913,4.217777131998446e-06,,0.827
dormplatz,dormplatz_strike012.flac,dormplatz_strike012.flac,181.640625,380.859375,410.15625,626.953125,832.03125,minor,128.29824469981426,30.0,704.1116471407556,1043.336378381803,1273.105053191489,8.178910320566501e-06,171.70175530018574,0.822
evangelical_church,evangelical_church_strike001.flac,evangelical_church_strike001.flac,,99.609375,,164.0625,210.9375,,,5.5544579724219725,1537.8136494099974,2612.976456806475,3285.576923076923,0.0001026270110742,,0.811
evangelical_church,evangelical_church_strike002.flac,evangelical_church_strike002.flac,,87.890625,111.328125,134.765625,175.78125,major,409.2443014020803,,1884.825939740214,2906.8693637426686,4300.360576923077,9.007312473841012e-05,9.244301402080282,1.0
evangelical_church,evangelical_church_strike003.flac,evangelical_church_strike003.flac,,70.3125,,117.1875,134.765625,,,30.0,1905.5032162017808,3031.9741542033576,4317.007211538462,0.0001098702268791,,0.542
evangelical_church,evangelical_church_strike004.flac,evangelical_church_strike004.flac,,99.609375,,140.625,187.5,,,12.469084908925266,1762.2600331373787,3062.0296555687155,3776.8028846153848,0.0001260470162378,,0.388
evangelical_church,evangelical_church_strike005.flac,evangelical_church_strike005.flac,,64.453125,,,117.1875,,,,1752.2472687163952,2874.976806820686,3491.887019230769,0.0001595296780578,,0.318
evangelical_church,evangelical_church_strike006.flac,evangelical_church_strike006.flac,,58.59375,76.171875,,117.1875,major,454.2139479044758,30.0,1639.423250028097,2832.7184944527307,2879.987980769231,0.0001072667218977,54.21394790447579,0.47
evangelical_church,evangelical_church_strike007.flac,evangelical_church_strike007.flac,,70.3125,,111.328125,140.625,,,30.0,1357.9332326800395,2595.741877816227,2251.726274787535,5.587549094343558e-05,,0.361
